Mov avg per,maxx month ,minn month,in raange,Time,Count
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 12:00:00 AM,182
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 1:00:00 AM,138
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 2:00:00 AM,134
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 3:00:00 AM,72
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 4:00:00 AM,47
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 5:00:00 AM,46
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 6:00:00 AM,51
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 7:00:00 AM,75
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 8:00:00 AM,131
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 9:00:00 AM,301
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 10:00:00 AM,528
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 11:00:00 AM,727
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 12:00:00 PM,862
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 1:00:00 PM,916
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 2:00:00 PM,1039
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 3:00:00 PM,869
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 4:00:00 PM,737
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 5:00:00 PM,594
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 6:00:00 PM,522
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 7:00:00 PM,379
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 8:00:00 PM,328
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 9:00:00 PM,221
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 10:00:00 PM,178
1/4/2015,6/23/2015,5/27/2015,False,1/4/2015 11:00:00 PM,157
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 12:00:00 AM,83
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 1:00:00 AM,67
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 2:00:00 AM,32
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 3:00:00 AM,22
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 4:00:00 AM,38
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 5:00:00 AM,81
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 6:00:00 AM,444
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 7:00:00 AM,1597
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 8:00:00 AM,3161
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 9:00:00 AM,1342
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 10:00:00 AM,568
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 11:00:00 AM,584
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 12:00:00 PM,762
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 1:00:00 PM,873
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 2:00:00 PM,672
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 3:00:00 PM,807
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 4:00:00 PM,1192
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 5:00:00 PM,2761
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 6:00:00 PM,2389
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 7:00:00 PM,1274
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 8:00:00 PM,696
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 9:00:00 PM,411
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 10:00:00 PM,324
1/5/2015,6/23/2015,5/27/2015,False,1/5/2015 11:00:00 PM,192
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 12:00:00 AM,91
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 1:00:00 AM,73
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 2:00:00 AM,33
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 3:00:00 AM,19
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 4:00:00 AM,40
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 5:00:00 AM,74
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 6:00:00 AM,530
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 7:00:00 AM,1715
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 8:00:00 AM,3534
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 9:00:00 AM,1573
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 10:00:00 AM,635
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 11:00:00 AM,550
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 12:00:00 PM,395
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 1:00:00 PM,426
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 2:00:00 PM,579
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 3:00:00 PM,718
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 4:00:00 PM,1184
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 5:00:00 PM,2662
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 6:00:00 PM,2610
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 7:00:00 PM,1402
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 8:00:00 PM,720
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 9:00:00 PM,494
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 10:00:00 PM,344
1/6/2015,6/23/2015,5/27/2015,False,1/6/2015 11:00:00 PM,212
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 12:00:00 AM,102
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 1:00:00 AM,60
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 2:00:00 AM,33
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 3:00:00 AM,26
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 4:00:00 AM,33
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 5:00:00 AM,80
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 6:00:00 AM,526
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 7:00:00 AM,1757
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 8:00:00 AM,3618
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 9:00:00 AM,1714
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 10:00:00 AM,763
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 11:00:00 AM,690
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 12:00:00 PM,913
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 1:00:00 PM,982
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 2:00:00 PM,783
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 3:00:00 PM,794
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 4:00:00 PM,1171
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 5:00:00 PM,2647
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 6:00:00 PM,2579
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 8:00:00 PM,657
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 9:00:00 PM,516
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 10:00:00 PM,414
1/7/2015,6/23/2015,5/27/2015,False,1/7/2015 11:00:00 PM,206
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 12:00:00 AM,123
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 1:00:00 AM,56
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 2:00:00 AM,51
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 3:00:00 AM,33
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 4:00:00 AM,32
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 5:00:00 AM,87
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 6:00:00 AM,511
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 7:00:00 AM,982
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 8:00:00 AM,1228
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 9:00:00 AM,573
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 10:00:00 AM,185
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 11:00:00 AM,193
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 12:00:00 PM,522
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 1:00:00 PM,672
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 2:00:00 PM,761
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 3:00:00 PM,781
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 4:00:00 PM,1212
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 5:00:00 PM,2351
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 6:00:00 PM,2110
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 7:00:00 PM,1239
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 8:00:00 PM,752
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 9:00:00 PM,457
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 10:00:00 PM,423
1/8/2015,6/23/2015,5/27/2015,False,1/8/2015 11:00:00 PM,267
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 12:00:00 AM,147
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 1:00:00 AM,60
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 2:00:00 AM,65
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 3:00:00 AM,42
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 4:00:00 AM,47
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 5:00:00 AM,85
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 6:00:00 AM,441
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 7:00:00 AM,1593
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 8:00:00 AM,3505
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 9:00:00 AM,1768
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 10:00:00 AM,799
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 11:00:00 AM,806
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 12:00:00 PM,1052
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 1:00:00 PM,1078
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 2:00:00 PM,976
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 3:00:00 PM,912
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 4:00:00 PM,1229
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 5:00:00 PM,2409
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 6:00:00 PM,1983
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 7:00:00 PM,1094
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 8:00:00 PM,686
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 9:00:00 PM,443
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 10:00:00 PM,464
1/9/2015,6/23/2015,5/27/2015,False,1/9/2015 11:00:00 PM,420
1/10/2015,6/23/2015,5/27/2015,False,1/10/2015 12:00:00 AM,392
1/10/2015,6/23/2015,5/27/2015,False,1/10/2015 1:00:00 AM,277
1/10/2015,6/23/2015,5/27/2015,False,1/10/2015 2:00:00 AM,189
1/10/2015,6/23/2015,5/27/2015,False,1/10/2015 3:00:00 AM,153
1/10/2015,6/23/2015,5/27/2015,False,1/10/2015 4:00:00 AM,90
1/10/2015,6/23/2015,5/27/2015,False,1/10/2015 5:00:00 AM,52
1/10/2015,6/23/2015,5/27/2015,False,1/10/2015 6:00:00 AM,69
1/10/2015,6/23/2015,5/27/2015,False,1/10/2015 7:00:00 AM,143
1/10/2015,6/23/2015,5/27/2015,False,1/10/2015 8:00:00 AM,321
