Mov avg per,maxx month ,minn month,Mov avg rides,in raange
1/4/2015,6/23/2015,5/27/2015,9234,False
1/5/2015,6/23/2015,5/27/2015,14803,False
1/6/2015,6/23/2015,5/27/2015,16739.666666667,False
1/7/2015,6/23/2015,5/27/2015,17820.75,False
1/8/2015,6/23/2015,5/27/2015,17376.8,False
1/9/2015,6/23/2015,5/27/2015,18164.666666667,False
1/10/2015,6/23/2015,5/27/2015,17671,False
1/11/2015,6/23/2015,5/27/2015,17284,False
1/12/2015,6/23/2015,5/27/2015,17274.555555556,False
1/13/2015,6/23/2015,5/27/2015,18016.8,False
1/14/2015,6/23/2015,5/27/2015,18521.181818182,False
1/15/2015,6/23/2015,5/27/2015,18891.75,False
1/16/2015,6/23/2015,5/27/2015,19181.846153846,False
1/17/2015,6/23/2015,5/27/2015,18902.285714286,False
1/18/2015,6/23/2015,5/27/2015,18522.066666667,False
1/19/2015,6/23/2015,5/27/2015,18804.0625,False
1/20/2015,6/23/2015,5/27/2015,19065.411764706,False
1/21/2015,6/23/2015,5/27/2015,19271.888888889,False
1/22/2015,6/23/2015,5/27/2015,19482.736842105,False
1/23/2015,6/23/2015,5/27/2015,19603.2,False
1/24/2015,6/23/2015,5/27/2015,19504.904761905,False
1/25/2015,6/23/2015,5/27/2015,19304.409090909,False
1/26/2015,6/23/2015,5/27/2015,19452.478260870,False
1/27/2015,6/23/2015,5/27/2015,19683.625,False
1/28/2015,6/23/2015,5/27/2015,19757.72,False
1/29/2015,6/23/2015,5/27/2015,19816.076923077,False
1/30/2015,6/23/2015,5/27/2015,19866.259259259,False
1/31/2015,6/23/2015,5/27/2015,19522.821428571,False
2/1/2015,6/23/2015,5/27/2015,19239.448275862,False
2/2/2015,6/23/2015,5/27/2015,19319.466666667,False
2/3/2015,6/23/2015,5/27/2015,19337.193548387,False
2/4/2015,6/23/2015,5/27/2015,19415.71875,False
2/5/2015,6/23/2015,5/27/2015,19469.787878788,False
2/6/2015,6/23/2015,5/27/2015,19513.470588235,False
2/7/2015,6/23/2015,5/27/2015,19331.628571429,False
